job_id,mold_type,machine_id,machine_type,operator_id,step_number,scheduled_start,actual_start,actual_end,setup_time_minutes,run_time_minutes,status,qa_result
JOB20250601-001,Mold_14,M006,3-Axis CNC Mill,OP011,3,2025-06-01T09:00:00,2025-06-01T09:25:00,2025-06-01T13:32:00,50,247,rework,pass
JOB20250601-002,Mold_36,M012,Drill Press,OP012,4,2025-06-01T12:00:00,2025-06-01T12:10:00,2025-06-01T15:19:00,15,189,rework,fail
JOB20250601-003,Mold_30,M012,Drill Press,OP014,4,2025-06-01T12:00:00,2025-06-01T12:30:00,2025-06-01T16:29:00,15,239,interrupted,needs_review
JOB20250601-004,Mold_37,M006,3-Axis CNC Mill,OP016,5,2025-06-01T10:00:00,2025-06-01T10:04:00,2025-06-01T11:47:00,50,103,rework,pass
JOB20250601-005,Mold_4,M009,Wire EDM,OP018,4,2025-06-01T10:00:00,2025-06-01T10:05:00,2025-06-01T11:49:00,60,104,rework,pass
JOB20250601-006,Mold_39,M010,Surface Grinder,OP005,5,2025-06-01T11:00:00,2025-06-01T11:28:00,2025-06-01T13:12:00,30,104,interrupted,needs_review
JOB20250601-007,Mold_30,M002,VMC,OP015,1,2025-06-01T12:00:00,2025-06-01T12:09:00,2025-06-01T14:54:00,60,165,interrupted,pass
JOB20250601-008,Mold_15,M007,Sinker EDM,OP009,2,2025-06-01T10:00:00,2025-06-01T10:29:00,2025-06-01T14:27:00,45,238,rework,pass
JOB20250601-009,Mold_33,M005,5-Axis CNC Mill,OP008,5,2025-06-01T11:00:00,2025-06-01T11:28:00,2025-06-01T16:10:00,120,282,interrupted,fail
JOB20250601-010,Mold_26,M011,Cylindrical Grinder,OP005,3,2025-06-01T08:00:00,2025-06-01T08:19:00,2025-06-01T13:01:00,40,282,rework,pass
JOB20250601-011,Mold_29,M002,VMC,OP004,2,2025-06-01T14:00:00,2025-06-01T14:28:00,2025-06-01T17:32:00,60,184,rework,pass
JOB20250601-012,Mold_2,M008,Sinker EDM,OP012,2,2025-06-01T08:00:00,2025-06-01T08:08:00,2025-06-01T11:14:00,45,186,completed,needs_review
JOB20250601-013,Mold_27,M006,3-Axis CNC Mill,OP018,5,2025-06-01T08:00:00,2025-06-01T08:00:00,2025-06-01T11:19:00,50,199,completed,fail
JOB20250602-014,Mold_13,M013,Drill Press,OP011,4,2025-06-02T08:00:00,2025-06-02T08:14:00,2025-06-02T09:32:00,20,78,completed,needs_review
JOB20250602-015,Mold_23,M005,5-Axis CNC Mill,OP018,3,2025-06-02T12:00:00,2025-06-02T12:04:00,2025-06-02T14:13:00,120,129,completed,pass
JOB20250602-016,Mold_6,M005,5-Axis CNC Mill,OP005,5,2025-06-02T08:00:00,2025-06-02T08:19:00,2025-06-02T12:03:00,120,224,interrupted,needs_review
JOB20250602-017,Mold_13,M002,VMC,OP018,3,2025-06-02T14:00:00,2025-06-02T14:10:00,2025-06-02T15:18:00,60,68,completed,fail
