Job ID,Step,Machine Type,Machine ID,Start Time,End Time
JOB20250609_01,1,HMC,Type: HMC,2025-06-09 08:00:00,2025-06-09 12:30:00
JOB20250609_01,2,VMC,Type: VMC,2025-06-09 12:30:00,2025-06-09 15:30:00
JOB20250609_01,3,VMC,Type: VMC,2025-06-09 15:30:00,2025-06-09 18:00:00
JOB20250609_01,4,Sinker EDM,Type: Sinker EDM,2025-06-09 18:00:00,2025-06-09 22:45:00
JOB20250609_02,1,Manual Lathe,Type: Manual Lathe,2025-06-09 08:00:00,2025-06-09 16:00:00
JOB20250609_02,2,VMC,Type: VMC,2025-06-09 16:00:00,2025-06-12 05:00:00
JOB20250609_02,3,Wire EDM,Type: Wire EDM,2025-06-12 05:00:00,2025-06-14 03:00:00
JOB20250609_02,4,Surface Grinder,Type: Surface Grinder,2025-06-14 03:00:00,2025-06-14 18:30:00
JOB20250609_02,5,Manual Drill Press,Type: Manual Drill Press,2025-06-14 18:30:00,2025-06-14 23:45:00
JOB20250609_03,1,HMC,Type: HMC,2025-06-09 13:00:00,2025-06-10 05:30:00
JOB20250609_03,2,Radial Drill Press,Type: Radial Drill Press,2025-06-10 05:30:00,2025-06-10 08:05:00
JOB20250609_03,3,Manual Lathe,Type: Manual Lathe,2025-06-10 08:05:00,2025-06-10 11:35:00
JOB20250609_04,1,HMC,Type: HMC,2025-06-09 16:00:00,2025-06-10 01:30:00
JOB20250609_04,2,VMC,Type: VMC,2025-06-10 01:30:00,2025-06-10 08:30:00
JOB20250609_04,3,Sinker EDM,Type: Sinker EDM,2025-06-10 08:30:00,2025-06-10 21:15:00
JOB20250609_04,4,Manual Drill Press,Type: Manual Drill Press,2025-06-10 21:15:00,2025-06-10 22:30:00
JOB20250609_05,1,HMC,Type: HMC,2025-06-10 02:00:00,2025-06-10 06:30:00
JOB20250609_05,2,VMC,Type: VMC,2025-06-10 08:30:00,2025-06-10 11:30:00
JOB20250609_05,3,VMC,Type: VMC,2025-06-10 11:30:00,2025-06-10 14:00:00
JOB20250609_05,4,Sinker EDM,Type: Sinker EDM,2025-06-10 14:00:00,2025-06-10 18:45:00
JOB20250609_06,1,VMC,Type: VMC,2025-06-12 05:00:00,2025-06-13 07:00:00
JOB20250609_06,2,VMC,Type: VMC,2025-06-13 07:00:00,2025-06-14 00:40:00
JOB20250609_06,3,Cylindrical Grinder,Type: Cylindrical Grinder,2025-06-14 00:40:00,2025-06-14 14:40:00
JOB20250609_06,4,Wire EDM,Type: Wire EDM,2025-06-17 08:30:00,2025-06-18 00:30:00
JOB20250609_07,1,VMC,Type: VMC,2025-06-10 14:00:00,2025-06-11 01:00:00
JOB20250609_07,2,Surface Grinder,Type: Surface Grinder,2025-06-11 01:00:00,2025-06-11 05:40:00
JOB20250609_07,3,CNC Lathe,Type: CNC Lathe,2025-06-11 05:40:00,2025-06-11 11:25:00
JOB20250609_07,4,Cylindrical Grinder,Type: Cylindrical Grinder,2025-06-11 11:25:00,2025-06-11 15:25:00
JOB20250609_08,1,Manual Lathe,Type: Manual Lathe,2025-06-11 00:00:00,2025-06-11 10:30:00
JOB20250609_08,2,VMC,Type: VMC,2025-06-11 10:30:00,2025-06-14 19:30:00
JOB20250609_08,3,Wire EDM,Type: Wire EDM,2025-06-14 19:30:00,2025-06-17 08:30:00
JOB20250609_08,4,Surface Grinder,Type: Surface Grinder,2025-06-17 08:30:00,2025-06-18 05:00:00
JOB20250609_08,5,Manual Drill Press,Type: Manual Drill Press,2025-06-18 05:00:00,2025-06-18 11:55:00
JOB20250609_09,1,HMC,Type: HMC,2025-06-11 05:00:00,2025-06-11 09:30:00
JOB20250609_09,2,VMC,Type: VMC,2025-06-14 00:40:00,2025-06-14 03:40:00
JOB20250609_09,3,VMC,Type: VMC,2025-06-14 03:40:00,2025-06-14 06:10:00
JOB20250609_09,4,Sinker EDM,Type: Sinker EDM,2025-06-14 06:10:00,2025-06-14 10:55:00
