Job ID,Step,Machine ID,Machine Type,Start Time,End Time
JOB20250609_01,1,M004,HMC,2025-06-09 08:00:00,2025-06-09 12:30:00
JOB20250609_01,2,M001,VMC,2025-06-09 12:30:00,2025-06-09 15:30:00
JOB20250609_01,3,M001,VMC,2025-06-09 15:30:00,2025-06-09 18:00:00
JOB20250609_01,4,M007,Sinker EDM,2025-06-09 18:00:00,2025-06-09 22:45:00
JOB20250609_02,1,M015,Manual Lathe,2025-06-09 08:00:00,2025-06-09 16:00:00
JOB20250609_02,2,M002,VMC,2025-06-09 16:00:00,2025-06-12 05:00:00
JOB20250609_02,3,M009,Wire EDM,2025-06-12 05:00:00,2025-06-14 03:00:00
JOB20250609_02,4,M010,Surface Grinder,2025-06-14 03:00:00,2025-06-14 18:30:00
JOB20250609_02,5,M012,Manual Drill Press,2025-06-14 18:30:00,2025-06-14 23:45:00
JOB20250609_03,1,M003,HMC,2025-06-10 00:00:00,2025-06-10 16:30:00
JOB20250609_03,2,M013,Radial Drill Press,2025-06-10 16:30:00,2025-06-10 19:05:00
JOB20250609_03,3,M015,Manual Lathe,2025-06-10 19:05:00,2025-06-10 22:35:00
JOB20250609_04,1,M003,HMC,2025-06-10 16:30:00,2025-06-11 02:00:00
JOB20250609_04,2,M001,VMC,2025-06-11 02:00:00,2025-06-11 09:00:00
JOB20250609_04,3,M007,Sinker EDM,2025-06-11 09:00:00,2025-06-11 21:45:00
JOB20250609_04,4,M012,Manual Drill Press,2025-06-14 23:45:00,2025-06-15 01:00:00
JOB20250609_05,1,M004,HMC,2025-06-11 00:00:00,2025-06-11 04:30:00
JOB20250609_05,2,M001,VMC,2025-06-11 09:00:00,2025-06-11 12:00:00
JOB20250609_05,3,M001,VMC,2025-06-11 12:00:00,2025-06-11 14:30:00
JOB20250609_05,4,M008,Sinker EDM,2025-06-11 14:30:00,2025-06-11 19:15:00
JOB20250609_06,1,M001,VMC,2025-06-11 14:30:00,2025-06-12 16:30:00
JOB20250609_06,2,M001,VMC,2025-06-12 16:30:00,2025-06-13 10:10:00
JOB20250609_06,3,M011,Cylindrical Grinder,2025-06-13 10:10:00,2025-06-14 00:10:00
JOB20250609_06,4,M009,Wire EDM,2025-06-14 03:00:00,2025-06-14 19:00:00
JOB20250609_07,1,M002,VMC,2025-06-12 05:00:00,2025-06-12 16:00:00
JOB20250609_07,2,M010,Surface Grinder,2025-06-14 18:30:00,2025-06-14 23:10:00
JOB20250609_07,3,M014,CNC Lathe,2025-06-14 23:10:00,2025-06-15 04:55:00
JOB20250609_07,4,M011,Cylindrical Grinder,2025-06-15 04:55:00,2025-06-15 08:55:00
JOB20250609_08,1,M015,Manual Lathe,2025-06-11 00:00:00,2025-06-11 10:30:00
JOB20250609_08,2,M002,VMC,2025-06-16 00:00:00,2025-06-19 09:00:00
JOB20250609_08,3,M009,Wire EDM,2025-06-19 09:00:00,2025-06-21 22:00:00
JOB20250609_08,4,M010,Surface Grinder,2025-06-23 00:00:00,2025-06-23 20:30:00
JOB20250609_08,5,M012,Manual Drill Press,2025-06-23 20:30:00,2025-06-24 03:25:00
JOB20250609_09,1,M003,HMC,2025-06-11 05:00:00,2025-06-11 09:30:00
JOB20250609_09,2,M001,VMC,2025-06-13 10:10:00,2025-06-13 13:10:00
JOB20250609_09,3,M001,VMC,2025-06-13 13:10:00,2025-06-13 15:40:00
JOB20250609_09,4,M007,Sinker EDM,2025-06-13 15:40:00,2025-06-13 20:25:00
