order_id_code,product_route_id,quantity_to_produce,priority,arrival_time,product_name,due_date,current_status,id
ORD-20250715-01,FC1000-01,1,2,15-07-2025 09:00,1000ml Food Container,15-08-2025 17:00,pending,1
ORD-20250716-01,ICL1000-01,2,3,16-07-2025 11:00,1000ml Ice Cream Lid,16-08-2025 17:00,pending,2
ORD-20250718-01,ICJ1000-01,3,1,18-07-2025 14:00,1000ml Ice Cream Jar,18-08-2025 17:00,pending,3
ORD-20250719-01,ICJ500-01,1,2,19-07-2025 10:00,500ml Ice Cream Jar,19-08-2025 17:00,pending,4
ORD-20250720-01,ICL750-01,2,3,20-07-2025 09:30,750ml Ice Cream Lid,20-08-2025 17:00,pending,5
ORD-20250721-01,ICJ750-01,2,1,21-07-2025 16:00,750ml Ice Cream Jar,21-08-2025 17:00,pending,6
ORD-20250722-01,ICL130-01,1,3,22-07-2025 09:00,130ml Ice cream Lid,22-08-2025 17:00,pending,7
ORD-20250722-02,ICJ130-01,1,2,22-07-2025 09:00,130ml Ice cream Jar,22-08-2025 17:00,pending,8
ORD-20250723-01,FC1000-01,1,1,23-07-2025 11:00,1000ml Food Container,23-08-2025 17:00,pending,9
ORD-20250724-01,ICJ500-01,2,2,24-07-2025 09:00,500ml Ice Cream Jar,24-08-2025 17:00,pending,10
