machine_id_code,machine_name,machine_type,default_setup_time_mins,is_active,id
VMC-01,MAKINO PS-95,VMC,45,TRUE,1
VMC-02,MAKINO S-56,VMC,45,TRUE,2
VMC-03,HAAS VM-6,VMC,60,TRUE,3
VMC-04,HAAS VM-6,VMC,60,TRUE,4
VMC-05,HAAS VM-3,VMC,45,TRUE,5
VMC-06,HAAS VF-1,VMC,30,TRUE,6
VMC-07,HAAS VF-2,VMC,30,TRUE,7
VMC-08,HAAS MINIMILL,VMC,25,TRUE,8
VMC-09,BFW BMV-70,VMC,60,TRUE,9
VMC-10,BFW BMV-65,VMC,45,TRUE,10
VMC-11,BFW BMV-60,VMC,45,TRUE,11
TURN-01,ACE CNC Turning,TURNING,40,TRUE,12
EDM-01,GF FORM 200,EDM,35,TRUE,13
EDM-02,CHMER 50N,EDM,30,TRUE,14
EDM-03,CHMER 50N,EDM,30,TRUE,15
DRILL-01,LOCH Deep Hole Drilling,DRILL,25,TRUE,16
CMM-01,ZEISS Contura G2,INSPECTION,20,TRUE,17
SANDBLAST-01,MEC-SHOT,FINISHING,15,TRUE,18
GRIND-S-01,PERFECT Surface Grinder 1500X700,GRINDING,20,TRUE,19
GRIND-S-02,PERFECT Surface Grinder 1500X700,GRINDING,20,TRUE,20
GRIND-S-03,PERFECT Surface Grinder 800X400,GRINDING,15,TRUE,21
GRIND-S-04,PRAGA Surface Grinder 450x150,GRINDING,15,TRUE,22
GRIND-S-05,JONES-SHIPMAN Surface Grinder 450x150,GRINDING,15,TRUE,23
GRIND-S-06,HMT Surface Grinder 300x100,GRINDING,10,TRUE,24
GRIND-C-01,MICROMATIC Cylindrical Grinder,GRINDING,25,TRUE,25
GRIND-C-02,MICROMATIC Cylindrical Grinder,GRINDING,25,TRUE,26
MILL-C-01,ESTEAM Conventional Milling,MILLING,30,TRUE,27
MILL-C-02,ESTEAM Conventional Milling,MILLING,30,TRUE,28
DRILL-R-01,HMT Radial Drilling,DRILL,15,TRUE,29
DRILL-R-02,RMS Radial Drilling,DRILL,15,TRUE,30
LATHE-01,South Brand Lathe,TURNING,20,TRUE,31
BLOCKUP-01,H.ERNAULT SOMUA Block up,SPECIAL,25,TRUE,32
BLOCKUP-02,H.ERNAULT SOMUA Block up,SPECIAL,25,TRUE,33
